genes,study,relevance
STARP1,Eichstaedt2014,Selec_And
STC2,Eichstaedt2014,Selec_And
RPL7AP33,Eichstaedt2014,Selec_And
AC106731.1,Eichstaedt2014,Selec_And
AC008412.1,Eichstaedt2014,Selec_And
NKX2-5,Eichstaedt2014,Selec_And
STRADBP1,Eichstaedt2014,Selec_And
AC069304.1,Eichstaedt2014,Selec_And
GIMAP4,Eichstaedt2014,Selec_And
ALDH7A1P3,Eichstaedt2014,Selec_And
GIMAP6,Eichstaedt2014,Selec_And
GIMAP7,Eichstaedt2014,Selec_And
GIMAP2,Eichstaedt2014,Selec_And
RP11-632K21.3,Eichstaedt2014,Selec_And
SUCLG2,Eichstaedt2014,Selec_And
SUV420H1,Eichstaedt2014,Selec_And
AP002992.1,Eichstaedt2014,Selec_And
TCIRG1,Eichstaedt2014,Selec_And
CTD-2655K5.1,Eichstaedt2014,Selec_And
RP11-802E16.3,Eichstaedt2014,Selec_And
SYNJ2,Eichstaedt2014,Selec_And
SERAC1,Eichstaedt2014,Selec_And
SYNJ2-IT1,Eichstaedt2014,Selec_And
GTF2H5,Eichstaedt2014,Selec_And
SYT12,Eichstaedt2014,Selec_And
TACR3,Eichstaedt2014,Selec_And
TAF1B,Eichstaedt2014,Selec_And
TBX10,Eichstaedt2014,Selec_And
TBX5,Eichstaedt2014,Selec_And
RP11-139B1.1,Eichstaedt2014,Selec_And
TGM1,Eichstaedt2014,Selec_And
TINF2,Eichstaedt2014,Selec_And
IRF9,Eichstaedt2014,Selec_And
MDP1,Eichstaedt2014,Selec_And
TSSK4,Eichstaedt2014,Selec_And
RP11-468E2.1,Eichstaedt2014,Selec_And
IPO4,Eichstaedt2014,Selec_And
CHMP4A,Eichstaedt2014,Selec_And
PSME1,Eichstaedt2014,Selec_And
RP11-468E2.6,Eichstaedt2014,Selec_And
PSME2,Eichstaedt2014,Selec_And
REC8,Eichstaedt2014,Selec_And
FAM158A,Eichstaedt2014,Selec_And
RNF31,Eichstaedt2014,Selec_And
TM9SF1,Eichstaedt2014,Selec_And
RP11-468E2.2,Eichstaedt2014,Selec_And
RP11-468E2.4,Eichstaedt2014,Selec_And
RP11-468E2.5,Eichstaedt2014,Selec_And
FITM1,Eichstaedt2014,Selec_And
TRIM55,Eichstaedt2014,Selec_And
TRNAV37P,Eichstaedt2014,Selec_And
RP11-518I13.1,Eichstaedt2014,Selec_And
RP11-230C9.1,Eichstaedt2014,Selec_And
TSHZ3,Eichstaedt2014,Selec_And
U4,Eichstaedt2014,Selec_And
RP4-756G23.5,Eichstaedt2014,Selec_And
RANGAP1,Eichstaedt2014,Selec_And
ZC3H7B,Eichstaedt2014,Selec_And
TEF,Eichstaedt2014,Selec_And
CHADL,Eichstaedt2014,Selec_And
L3MBTL2,Eichstaedt2014,Selec_And
UBA52P7,Eichstaedt2014,Selec_And
RP11-1028N23.3,Eichstaedt2014,Selec_And
RP11-1028N23.2,Eichstaedt2014,Selec_And
AC009803.1,Eichstaedt2014,Selec_And
RP11-110L15.1,Eichstaedt2014,Selec_And
RP11-1028N23.4,Eichstaedt2014,Selec_And
UBE2D3,Eichstaedt2014,Selec_And
XKR6,Eichstaedt2014,Selec_And
CTD-2135J3.4,Eichstaedt2014,Selec_And
PINX1,Eichstaedt2014,Selec_And
CTD-2135J3.3,Eichstaedt2014,Selec_And
SOX7,Eichstaedt2014,Selec_And
RP11-177H2.2,Eichstaedt2014,Selec_And
SNORD112,Eichstaedt2014,Selec_And
ZC3H11A,Eichstaedt2014,Selec_And
ZC3HAV1,Eichstaedt2014,Selec_And
ZC3HAV1L,Eichstaedt2014,Selec_And
KIAA1549,Eichstaedt2014,Selec_And
RP11-383F6.1,Eichstaedt2014,Selec_And
AC002310.13,Eichstaedt2017,Selec_And
AC111200.1,Eichstaedt2017,Selec_And
ACCSL,Eichstaedt2017,Selec_And
ACTR10,Eichstaedt2017,Selec_And
ADAM7,Eichstaedt2017,Selec_And
ADPRHL2,Eichstaedt2017,Selec_And
ADRBK1,Eichstaedt2017,Selec_And
AFM,Eichstaedt2017,Selec_And
AFP,Eichstaedt2017,Selec_And
AGAP6,Eichstaedt2017,Selec_And
AGO1,Eichstaedt2017,Selec_And
AGO3,Eichstaedt2017,Selec_And
AGO4,Eichstaedt2017,Selec_And
AHSA2,Eichstaedt2017,Selec_And
AIP,Eichstaedt2017,Selec_And
AK4,Eichstaedt2017,Selec_And
AKAP6,Eichstaedt2017,Selec_And
AL132989.1,Eichstaedt2017,Selec_And
AL161915.1,Eichstaedt2017,Selec_And
AL591025.1,Eichstaedt2017,Selec_And
ALB,Eichstaedt2017,Selec_And
ALDH3B1,Eichstaedt2017,Selec_And
ANKRD13D,Eichstaedt2017,Selec_And
ANKRD36,Eichstaedt2017,Selec_And
AP000769.1,Eichstaedt2017,Selec_And
AP000867.1,Eichstaedt2017,Selec_And
AP001362.1,Eichstaedt2017,Selec_And
AP001885.1,Eichstaedt2017,Selec_And
AP003774.4,Eichstaedt2017,Selec_And
AP1S1,Eichstaedt2017,Selec_And
APBB1IP,Eichstaedt2017,Selec_And
APOBR,Eichstaedt2017,Selec_And
APOH,Eichstaedt2017,Selec_And
ARHGEF17,Eichstaedt2017,Selec_And
ARID1A,Eichstaedt2017,Selec_And
ARID1B,Eichstaedt2017,Selec_And
ARID4A,Eichstaedt2017,Selec_And
ARL2,Eichstaedt2017,Selec_And
ASCL5,Eichstaedt2017,Selec_And
ATG2A,Eichstaedt2017,Selec_And
ATG2B,Eichstaedt2017,Selec_And
ATP6V0D2,Eichstaedt2017,Selec_And
BAD,Eichstaedt2017,Selec_And
BATF2,Eichstaedt2017,Selec_And
BMP8B,Eichstaedt2017,Selec_And
BRCA2,Eichstaedt2017,Selec_And
BX088651.2,Eichstaedt2017,Selec_And
C10orf112,Eichstaedt2017,Selec_And
C11orf72,Eichstaedt2017,Selec_And
C11orf85,Eichstaedt2017,Selec_And
C14orf37,Eichstaedt2017,Selec_And
C1orf123,Eichstaedt2017,Selec_And
C1orf172,Eichstaedt2017,Selec_And
C1orf50,Eichstaedt2017,Selec_And
RP5-994D16.9,Eichstaedt2017,Selec_And
C6orf1,Eichstaedt2017,Selec_And
CABP2,Eichstaedt2017,Selec_And
CABP4,Eichstaedt2017,Selec_And
CARD14,Eichstaedt2017,Selec_And
CARNS1,Eichstaedt2017,Selec_And
CASR,Eichstaedt2017,Selec_And
CCDC101,Eichstaedt2017,Selec_And
CCDC116,Eichstaedt2017,Selec_And
CCDC40,Eichstaedt2017,Selec_And
CCDC74B,Eichstaedt2017,Selec_And
CCDC88B,Eichstaedt2017,Selec_And
CCT4,Eichstaedt2017,Selec_And
CD164L2,Eichstaedt2017,Selec_And
CD86,Eichstaedt2017,Selec_And
CD8A,Eichstaedt2017,Selec_And
CD8B,Eichstaedt2017,Selec_And
CDC42BPG,Eichstaedt2017,Selec_And
CDCP2,Eichstaedt2017,Selec_And
CDK2AP2,Eichstaedt2017,Selec_And
CHCHD3,Eichstaedt2017,Selec_And
CHD7,Eichstaedt2017,Selec_And
CHKA,Eichstaedt2017,Selec_And
CHMP3,Eichstaedt2017,Selec_And
CLCF1,Eichstaedt2017,Selec_And
CLEC16A,Eichstaedt2017,Selec_And
CLIC4,Eichstaedt2017,Selec_And
CLN3,Eichstaedt2017,Selec_And
CLSPN,Eichstaedt2017,Selec_And
CNTNAP3B,Eichstaedt2017,Selec_And
COL21A1,Eichstaedt2017,Selec_And
COL8A2,Eichstaedt2017,Selec_And
COL9A2,Eichstaedt2017,Selec_And
COMMD1,Eichstaedt2017,Selec_And
CORO1B,Eichstaedt2017,Selec_And
CPT2,Eichstaedt2017,Selec_And
DARS,Eichstaedt2017,Selec_And
DCTPP1,Eichstaedt2017,Selec_And
DDX10,Eichstaedt2017,Selec_And
DEFA1,Eichstaedt2017,Selec_And
DEFA1B,Eichstaedt2017,Selec_And
DEFA3,Eichstaedt2017,Selec_And
DEFA5,Eichstaedt2017,Selec_And
DIO3,Eichstaedt2017,Selec_And
DLG2,Eichstaedt2017,Selec_And
DMRTB1,Eichstaedt2017,Selec_And
DNAJC4,Eichstaedt2017,Selec_And
DYNLT1,Eichstaedt2017,Selec_And
EEA1,Eichstaedt2017,Selec_And
EFHC1,Eichstaedt2017,Selec_And
EHBP1L1,Eichstaedt2017,Selec_And
EHD1,Eichstaedt2017,Selec_And
EIF3C,Eichstaedt2017,Selec_And
EIF3CL,Eichstaedt2017,Selec_And
EIF4A3,Eichstaedt2017,Selec_And
ELOVL5,Eichstaedt2017,Selec_And
EPAS1,Eichstaedt2017,Selec_And
ESRRA,Eichstaedt2017,Selec_And
EVA1B,Eichstaedt2017,Selec_And
EZR,Eichstaedt2017,Selec_And
FAM161A,Eichstaedt2017,Selec_And
FAM168A,Eichstaedt2017,Selec_And
FAM46B,Eichstaedt2017,Selec_And
FAM89B,Eichstaedt2017,Selec_And
FBXO9,Eichstaedt2017,Selec_And
FBXW2,Eichstaedt2017,Selec_And
FCN3,Eichstaedt2017,Selec_And
FERMT3,Eichstaedt2017,Selec_And
FKBP2,Eichstaedt2017,Selec_And
FLG2,Eichstaedt2017,Selec_And
FLRT1,Eichstaedt2017,Selec_And
FRMPD2,Eichstaedt2017,Selec_And
GAA,Eichstaedt2017,Selec_And
GATSL1,Eichstaedt2017,Selec_And
GCM1,Eichstaedt2017,Selec_And
GDF10,Eichstaedt2017,Selec_And
GDF2,Eichstaedt2017,Selec_And
GJA9,Eichstaedt2017,Selec_And
GLIS1,Eichstaedt2017,Selec_And
GPATCH3,Eichstaedt2017,Selec_And
GPHA2,Eichstaedt2017,Selec_And
GPN2,Eichstaedt2017,Selec_And
GPR126,Eichstaedt2017,Selec_And
GPR137,Eichstaedt2017,Selec_And
GPR152,Eichstaedt2017,Selec_And
GPR3,Eichstaedt2017,Selec_And
GSTA4,Eichstaedt2017,Selec_And
GSTP1,Eichstaedt2017,Selec_And
GTF2IRD2,Eichstaedt2017,Selec_And
GTF2IRD2B,Eichstaedt2017,Selec_And
GUCY1A2,Eichstaedt2017,Selec_And
HIC2,Eichstaedt2017,Selec_And
HIF1A,Eichstaedt2017,Selec_And
HLA-A,Eichstaedt2017,Selec_And
HMGA1,Eichstaedt2017,Selec_And
HSPB11,Eichstaedt2017,Selec_And
ICK,Eichstaedt2017,Selec_And
IL17A,Eichstaedt2017,Selec_And
IL17F,Eichstaedt2017,Selec_And
IL22RA1,Eichstaedt2017,Selec_And
IL27,Eichstaedt2017,Selec_And
IMPG1,Eichstaedt2017,Selec_And
INADL,Eichstaedt2017,Selec_And
ITGAL,Eichstaedt2017,Selec_And
ITPKB,Eichstaedt2017,Selec_And
IVL,Eichstaedt2017,Selec_And
KCNK4,Eichstaedt2017,Selec_And
KCNK7,Eichstaedt2017,Selec_And
KDM2A,Eichstaedt2017,Selec_And
KDM3A,Eichstaedt2017,Selec_And
KHDRBS2,Eichstaedt2017,Selec_And
KIAA0319L,Eichstaedt2017,Selec_And
KIAA0586,Eichstaedt2017,Selec_And
KIF26A,Eichstaedt2017,Selec_And
KITLG,Eichstaedt2017,Selec_And
KRTAP19-8,Eichstaedt2017,Selec_And
KRTAP5-10,Eichstaedt2017,Selec_And
KRTAP5-11,Eichstaedt2017,Selec_And
KRTAP5-7,Eichstaedt2017,Selec_And
KRTAP5-8,Eichstaedt2017,Selec_And
KRTAP5-9,Eichstaedt2017,Selec_And
KYNU,Eichstaedt2017,Selec_And
LBP,Eichstaedt2017,Selec_And
LDLRAD1,Eichstaedt2017,Selec_And
LRP8,Eichstaedt2017,Selec_And
LRRC42,Eichstaedt2017,Selec_And
LRRC69,Eichstaedt2017,Selec_And
LTBP3,Eichstaedt2017,Selec_And
MACROD1,Eichstaedt2017,Selec_And
MAGOH,Eichstaedt2017,Selec_And
MAP3K11,Eichstaedt2017,Selec_And
MAP3K6,Eichstaedt2017,Selec_And
MAP4K2,Eichstaedt2017,Selec_And
MAP7D1,Eichstaedt2017,Selec_And
MAPK8,Eichstaedt2017,Selec_And
MCM3,Eichstaedt2017,Selec_And
MCM6,Eichstaedt2017,Selec_And
MEGF6,Eichstaedt2017,Selec_And
MEGF9,Eichstaedt2017,Selec_And
MEN1,Eichstaedt2017,Selec_And
METTL14,Eichstaedt2017,Selec_And
MRPS27,Eichstaedt2017,Selec_And
MTRR,Eichstaedt2017,Selec_And
MUC12,Eichstaedt2017,Selec_And
MUC17,Eichstaedt2017,Selec_And
MUC3A,Eichstaedt2017,Selec_And
MYCBP,Eichstaedt2017,Selec_And
MYCL,Eichstaedt2017,Selec_And
MZT2B,Eichstaedt2017,Selec_And
NADSYN1,Eichstaedt2017,Selec_And
NCF1,Eichstaedt2017,Selec_And
NDUFS8,Eichstaedt2017,Selec_And
NDUFV1,Eichstaedt2017,Selec_And
NECAB1,Eichstaedt2017,Selec_And
NPIPB7,Eichstaedt2017,Selec_And
NPIPB8,Eichstaedt2017,Selec_And
NPIPB9,Eichstaedt2017,Selec_And
NR0B2,Eichstaedt2017,Selec_And
NRXN2,Eichstaedt2017,Selec_And
NUDC,Eichstaedt2017,Selec_And
NUDT22,Eichstaedt2017,Selec_And
NUDT3,Eichstaedt2017,Selec_And
NUDT8,Eichstaedt2017,Selec_And
NUPR1,Eichstaedt2017,Selec_And
OR52W1,Eichstaedt2017,Selec_And
OSBPL1A,Eichstaedt2017,Selec_And
OTUD6B,Eichstaedt2017,Selec_And
OXCT2,Eichstaedt2017,Selec_And
P2RY6,Eichstaedt2017,Selec_And
PAQR8,Eichstaedt2017,Selec_And
PCED1A,Eichstaedt2017,Selec_And
PCNXL3,Eichstaedt2017,Selec_And
PDSS1,Eichstaedt2017,Selec_And
PIGV,Eichstaedt2017,Selec_And
PITPNM1,Eichstaedt2017,Selec_And
PLCB3,Eichstaedt2017,Selec_And
PLCG2,Eichstaedt2017,Selec_And
PLXDC2,Eichstaedt2017,Selec_And
PODN,Eichstaedt2017,Selec_And
POLD4,Eichstaedt2017,Selec_And
POTEF,Eichstaedt2017,Selec_And
PPIE,Eichstaedt2017,Selec_And
PPP1CA,Eichstaedt2017,Selec_And
PPP1R14B,Eichstaedt2017,Selec_And
PPP2R5B,Eichstaedt2017,Selec_And
PRDX5,Eichstaedt2017,Selec_And
PRKCH,Eichstaedt2017,Selec_And
PRM1,Eichstaedt2017,Selec_And
PRM2,Eichstaedt2017,Selec_And
PRM3,Eichstaedt2017,Selec_And
PSMA3,Eichstaedt2017,Selec_And
PSMD5,Eichstaedt2017,Selec_And
PTCD2,Eichstaedt2017,Selec_And
PTPN20B,Eichstaedt2017,Selec_And
PTPRA,Eichstaedt2017,Selec_And
PTPRCAP,Eichstaedt2017,Selec_And
PYGM,Eichstaedt2017,Selec_And
RAD9A,Eichstaedt2017,Selec_And
RASGRP2,Eichstaedt2017,Selec_And
RBBP8,Eichstaedt2017,Selec_And
RBM15,Eichstaedt2017,Selec_And
RELT,Eichstaedt2017,Selec_And
RGPD1,Eichstaedt2017,Selec_And
RHBDL2,Eichstaedt2017,Selec_And
RHOD,Eichstaedt2017,Selec_And
RIMBP3B,Eichstaedt2017,Selec_And
RIMBP3C,Eichstaedt2017,Selec_And
RMI2,Eichstaedt2017,Selec_And
RMND5A,Eichstaedt2017,Selec_And
RNF103,Eichstaedt2017,Selec_And
RNF103-CHMP3,Eichstaedt2017,Selec_And
ROBO2,Eichstaedt2017,Selec_And
RP11-1085N6.3,Eichstaedt2017,Selec_And
RP11-122A3.2,Eichstaedt2017,Selec_And
RP11-268J15.5,Eichstaedt2017,Selec_And
RP11-47I22.4,Eichstaedt2017,Selec_And
RP11-796G6.2,Eichstaedt2017,Selec_And
RP1-187N21.4,Eichstaedt2017,Selec_And
RPS10,Eichstaedt2017,Selec_And
RPS6KA4,Eichstaedt2017,Selec_And
RPS6KB2,Eichstaedt2017,Selec_And
RRAGC,Eichstaedt2017,Selec_And
SCP2,Eichstaedt2017,Selec_And
SCYL1,Eichstaedt2017,Selec_And
SDF2L1,Eichstaedt2017,Selec_And
SEC14L4,Eichstaedt2017,Selec_And
SEC24D,Eichstaedt2017,Selec_And
SEPHS2,Eichstaedt2017,Selec_And
SEPSECS,Eichstaedt2017,Selec_And
1-Sep,Eichstaedt2017,Selec_And
SERPINE1,Eichstaedt2017,Selec_And
SF1,Eichstaedt2017,Selec_And
SFN,Eichstaedt2017,Selec_And
SGSH,Eichstaedt2017,Selec_And
SH3D21,Eichstaedt2017,Selec_And
SLC1A7,Eichstaedt2017,Selec_And
SLC22A11,Eichstaedt2017,Selec_And
SLC22A12,Eichstaedt2017,Selec_And
SLC26A11,Eichstaedt2017,Selec_And
SMPD4,Eichstaedt2017,Selec_And
SNAPC1,Eichstaedt2017,Selec_And
SNX15,Eichstaedt2017,Selec_And
SOCS1,Eichstaedt2017,Selec_And
SPATA31A6,Eichstaedt2017,Selec_And
SPHKAP,Eichstaedt2017,Selec_And
SPIDR,Eichstaedt2017,Selec_And
SSH3,Eichstaedt2017,Selec_And
SSSCA1,Eichstaedt2017,Selec_And
STIP1,Eichstaedt2017,Selec_And
STXBP5L,Eichstaedt2017,Selec_And
SULT1A1,Eichstaedt2017,Selec_And
SULT1A2,Eichstaedt2017,Selec_And
SUN1,Eichstaedt2017,Selec_And
SUV420H1,Eichstaedt2017,Selec_And
SYT12,Eichstaedt2017,Selec_And
SYTL1,Eichstaedt2017,Selec_And
SYTL3,Eichstaedt2017,Selec_And
TAS2R40,Eichstaedt2017,Selec_And
TBC1D10C,Eichstaedt2017,Selec_And
TBC1D16,Eichstaedt2017,Selec_And
TBX10,Eichstaedt2017,Selec_And
TCEANC2,Eichstaedt2017,Selec_And
TCIRG1,Eichstaedt2017,Selec_And
TEKT2,Eichstaedt2017,Selec_And
TEX40,Eichstaedt2017,Selec_And
THRAP3,Eichstaedt2017,Selec_And
TIMM23,Eichstaedt2017,Selec_And
TIMM9,Eichstaedt2017,Selec_And
TMEM132C,Eichstaedt2017,Selec_And
TMEM134,Eichstaedt2017,Selec_And
TMEM14A,Eichstaedt2017,Selec_And
TMEM181,Eichstaedt2017,Selec_And
TMEM222,Eichstaedt2017,Selec_And
TMEM239,Eichstaedt2017,Selec_And
TMEM55A,Eichstaedt2017,Selec_And
TMEM59,Eichstaedt2017,Selec_And
TMEM64,Eichstaedt2017,Selec_And
TMPRSS11B,Eichstaedt2017,Selec_And
TMPRSS11BNL,Eichstaedt2017,Selec_And
TMPRSS11E,Eichstaedt2017,Selec_And
TNP2,Eichstaedt2017,Selec_And
TOMM20L,Eichstaedt2017,Selec_And
TRAM2,Eichstaedt2017,Selec_And
TRAP1,Eichstaedt2017,Selec_And
TRAPPC3,Eichstaedt2017,Selec_And
TRIM56,Eichstaedt2017,Selec_And
TRIT1,Eichstaedt2017,Selec_And
TRMT112,Eichstaedt2017,Selec_And
TRNP1,Eichstaedt2017,Selec_And
TRPT1,Eichstaedt2017,Selec_And
TUBA3E,Eichstaedt2017,Selec_And
UBE2L3,Eichstaedt2017,Selec_And
UGT2B15,Eichstaedt2017,Selec_And
UGT2B17,Eichstaedt2017,Selec_And
UNC93B1,Eichstaedt2017,Selec_And
URB1,Eichstaedt2017,Selec_And
USP34,Eichstaedt2017,Selec_And
VEGFB,Eichstaedt2017,Selec_And
VPS16,Eichstaedt2017,Selec_And
VWDE,Eichstaedt2017,Selec_And
WASF2,Eichstaedt2017,Selec_And
WBSCR16,Eichstaedt2017,Selec_And
WDTC1,Eichstaedt2017,Selec_And
XPO1,Eichstaedt2017,Selec_And
YDJC,Eichstaedt2017,Selec_And
YTHDC1,Eichstaedt2017,Selec_And
ZDHHC14,Eichstaedt2017,Selec_And
ZDHHC18,Eichstaedt2017,Selec_And
ZEB2,Eichstaedt2017,Selec_And
ZMYM1,Eichstaedt2017,Selec_And
ZMYM4,Eichstaedt2017,Selec_And
ZMYM6,Eichstaedt2017,Selec_And
ZMYM6NB,Eichstaedt2017,Selec_And
ZNF366,Eichstaedt2017,Selec_And
ZNF48,Eichstaedt2017,Selec_And
ZNF688,Eichstaedt2017,Selec_And
ZNF747,Eichstaedt2017,Selec_And
ZNF764,Eichstaedt2017,Selec_And
ZNF768,Eichstaedt2017,Selec_And
ZNF771,Eichstaedt2017,Selec_And
ZNF785,Eichstaedt2017,Selec_And
ACACB,Eichstaedt2015,Selec_And
AP1S1,Eichstaedt2015,Selec_And
CHKA,Eichstaedt2015,Selec_And
FOXN4,Eichstaedt2015,Selec_And
MUC12,Eichstaedt2015,Selec_And
MUC17,Eichstaedt2015,Selec_And
MUC3A,Eichstaedt2015,Selec_And
NDUFS8,Eichstaedt2015,Selec_And
SERPINE1,Eichstaedt2015,Selec_And
TCIRG1,Eichstaedt2015,Selec_And
TRIM56 ,Eichstaedt2015,Selec_And
PRKG1,Eichstaedt2015,Selec_And
CBS,Eichstaedt2015,Selec_And
EPO,Eichstaedt2015,Selec_And
PTTG3P ,Stobdan 2017,Selec_And
C8orf44 ,Stobdan 2017,Selec_And
SGK3 ,Stobdan 2017,Selec_And
C8orf44-SGK3 ,Stobdan 2017,Selec_And
VCPIP1 ,Stobdan 2017,Selec_And
PPP1R42 ,Stobdan 2017,Selec_And
CSPP1 ,Stobdan 2017,Selec_And
COPS5 ,Stobdan 2017,Selec_And
TCF24 ,Stobdan 2017,Selec_And
SNHG6 ,Stobdan 2017,Selec_And
MCMDC2 ,Stobdan 2017,Selec_And
SNORD87 ,Stobdan 2017,Selec_And
ANTXRL ,Stobdan 2017,Selec_And
ANTXRLP1 ,Stobdan 2017,Selec_And
PRDM1 ,Stobdan 2017,Selec_And
COL21A1 ,Stobdan 2017,Selec_And
MBD4 ,Stobdan 2017,Selec_And
IFT122 ,Stobdan 2017,Selec_And
EFCAB12 ,Stobdan 2017,Selec_And
RPL32P3 ,Stobdan 2017,Selec_And
SNORA7B ,Stobdan 2017,Selec_And
ZNF492 ,Stobdan 2017,Selec_And
ZNF99 ,Stobdan 2017,Selec_And
ZNF723P ,Stobdan 2017,Selec_And
OR8S1 ,Stobdan 2017,Selec_And
C12orf54 ,Stobdan 2017,Selec_And
ANP32D ,Stobdan 2017,Selec_And
ZNF641 ,Stobdan 2017,Selec_And
MIR6505 ,Stobdan 2017,Selec_And
ASB8 ,Stobdan 2017,Selec_And
SENP1 ,Stobdan 2017,Selec_And
PFKM ,Stobdan 2017,Selec_And
COL2A1 ,Stobdan 2017,Selec_And
CCDC184 ,Stobdan 2017,Selec_And
RPS24 ,Stobdan 2017,Selec_And
POLR3A ,Stobdan 2017,Selec_And
CNTLN ,Stobdan 2017,Selec_And
MC2R ,Stobdan 2017,Selec_And
PRKAA2,Crawford2017,Selec_And
FGA,Crawford2017,Selec_And
NPPB,Crawford2017,Selec_And
PRKAA1,Crawford2017,Selec_And
FGB,Crawford2017,Selec_And
FGG,Crawford2017,Selec_And
NOS2,Crawford2017,Selec_And
TBX5,Crawford2017,Selec_And
BRINP3,Crawford2017,Selec_And
PRKAA1,Bigham2014,Selec_And
EDNRA,Bigham2014,Selec_And
Akt,Bigham2014diffexprgenes,Selec_And
ASAH2,Bigham2014diffexprgenes,Selec_And
ATP1B2,Bigham2014diffexprgenes,Selec_And
C1GALT1C1,Bigham2014diffexprgenes,Selec_And
CAMLG,Bigham2014diffexprgenes,Selec_And
CCDC85A,Bigham2014diffexprgenes,Selec_And
CEP70,Bigham2014diffexprgenes,Selec_And
CPA1,Bigham2014diffexprgenes,Selec_And
Cyclin,Bigham2014diffexprgenes,Selec_And
D,Bigham2014diffexprgenes,Selec_And
DGKD,Bigham2014diffexprgenes,Selec_And
GAD,Bigham2014diffexprgenes,Selec_And
GAD2,Bigham2014diffexprgenes,Selec_And
GDNF,Bigham2014diffexprgenes,Selec_And
GRB14,Bigham2014diffexprgenes,Selec_And
HLA-DQ,Bigham2014diffexprgenes,Selec_And
INSIG2,Bigham2014diffexprgenes,Selec_And
ITGB8,Bigham2014diffexprgenes,Selec_And
KLF15,Bigham2014diffexprgenes,Selec_And
MEF2,Bigham2014diffexprgenes,Selec_And
mir-133,Bigham2014diffexprgenes,Selec_And
N-cor,Bigham2014diffexprgenes,Selec_And
Nfat,Bigham2014diffexprgenes,Selec_And
Nr1,Bigham2014diffexprgenes,Selec_And
h,Bigham2014diffexprgenes,Selec_And
PSMB1,Bigham2014diffexprgenes,Selec_And
PTF1A,Bigham2014diffexprgenes,Selec_And
RNF139,Bigham2014diffexprgenes,Selec_And
Rxr,Bigham2014diffexprgenes,Selec_And
SIM1,Bigham2014diffexprgenes,Selec_And
SLC32A1,Bigham2014diffexprgenes,Selec_And
SPOCD1,Bigham2014diffexprgenes,Selec_And
STMN2,Bigham2014diffexprgenes,Selec_And
TCL1A,Bigham2014diffexprgenes,Selec_And
ULBP1,Bigham2014diffexprgenes,Selec_And
WRB,Bigham2014diffexprgenes,Selec_And
ACSL1,Bigham2014diffexprgenes,Selec_And
BMPR1A,Bigham2014diffexprgenes,Selec_And
Caspase,Bigham2014diffexprgenes,Selec_And
7-Mar,Bigham2014diffexprgenes,Selec_And
Cbp/p300,Bigham2014diffexprgenes,Selec_And
CD226,Bigham2014diffexprgenes,Selec_And
CDC42EP5,Bigham2014diffexprgenes,Selec_And
CYBA,Bigham2014diffexprgenes,Selec_And
DEFB114,Bigham2014diffexprgenes,Selec_And
EEA1,Bigham2014diffexprgenes,Selec_And
ERK1/2,Bigham2014diffexprgenes,Selec_And
HOOK2,Bigham2014diffexprgenes,Selec_And
HOOK3,Bigham2014diffexprgenes,Selec_And
Igf,Bigham2014diffexprgenes,Selec_And
JAM2,Bigham2014diffexprgenes,Selec_And
KIAA1279,Bigham2014diffexprgenes,Selec_And
MAPKAPK5,Bigham2014diffexprgenes,Selec_And
mir-181,Bigham2014diffexprgenes,Selec_And
MYOG,Bigham2014diffexprgenes,Selec_And
Nectin,Bigham2014diffexprgenes,Selec_And
PARD3,Bigham2014diffexprgenes,Selec_And
PIGF,Bigham2014diffexprgenes,Selec_And
PNMA1,Bigham2014diffexprgenes,Selec_And
PVRL2,Bigham2014diffexprgenes,Selec_And
RGS5,Bigham2014diffexprgenes,Selec_And
RHEB,Bigham2014diffexprgenes,Selec_And
Smad1/5/8,Bigham2014diffexprgenes,Selec_And
Smad2/3,Bigham2014diffexprgenes,Selec_And
SPTLC1,Bigham2014diffexprgenes,Selec_And
TIGIT,Bigham2014diffexprgenes,Selec_And
TOM1L1,Bigham2014diffexprgenes,Selec_And
TP53RK,Bigham2014diffexprgenes,Selec_And
TSHZ3,Bigham2014diffexprgenes,Selec_And
ZFYVE16,Bigham2014diffexprgenes,Selec_And
ZMYND11,Bigham2014diffexprgenes,Selec_And
ZNF638,Bigham2014diffexprgenes,Selec_And
ATG4C,Bigham2014diffexprgenes,Selec_And
ADAMTS4,Bigham2014diffexprgenes,Selec_And
ALOX15,Bigham2014diffexprgenes,Selec_And
Alpha,Bigham2014diffexprgenes,Selec_And
actinin,Bigham2014diffexprgenes,Selec_And
catenin,Bigham2014diffexprgenes,Selec_And
BCAN,Bigham2014diffexprgenes,Selec_And
BRK1,Bigham2014diffexprgenes,Selec_And
CHRNA2,Bigham2014diffexprgenes,Selec_And
COL1A2,Bigham2014diffexprgenes,Selec_And
Collagen,Bigham2014diffexprgenes,Selec_And
type,Bigham2014diffexprgenes,Selec_And
I,Bigham2014diffexprgenes,Selec_And
III,Bigham2014diffexprgenes,Selec_And
CTNNA1,Bigham2014diffexprgenes,Selec_And
CTTNBP2,Bigham2014diffexprgenes,Selec_And
EPHA7,Bigham2014diffexprgenes,Selec_And
ERK,Bigham2014diffexprgenes,Selec_And
IL3RA,Bigham2014diffexprgenes,Selec_And
ITGA11,Bigham2014diffexprgenes,Selec_And
KIF9,Bigham2014diffexprgenes,Selec_And
